Fold,Accuracy,F1,ROC_AUC
1,0.5021582733812949,0.4214046822742475,0.503908487447642
2,0.5402877697841727,0.49960845732184805,0.5330454047595341
3,0.4841726618705036,0.42868525896414345,0.4907063120062275
4,0.47697841726618706,0.3759656652360515,0.5029587031278313
5,0.4776978417266187,0.37735849056603776,0.48543632955695254
