Fold,Accuracy,F1,ROC_AUC
1,0.5158273381294964,0.44149377593360994,0.5164910468247835
2,0.5129496402877698,0.46818538884524746,0.5162032427229579
3,0.5136690647482014,0.4815950920245399,0.502480249101479
4,0.5057553956834533,0.49448123620309054,0.5126814952437884
5,0.5021582733812949,0.5483028720626631,0.49127092076235335
